Scan report for: /example/secure-scan/data/.DS_Store
Keywords: password, token, sql, injection, xss, admin, secret, apikey, api key
------------------------------------------------------------
✅ No matches found.

Scan report for: /example/secure-scan/data/vulnerability_history.json
Keywords: password, token, sql, injection, xss, admin, secret, apikey, api key
------------------------------------------------------------
Total Matches: 703
HIGH: 129
MEDIUM: 97
LOW: 0

Line 259 | HIGH | password | "file": "/example/secure-scan/data/urgent_payroll_password.txt",
Line 5826 | MEDIUM | sql | "content": "\"finding\": \"sql_injection_payload\","
Line 5834 | MEDIUM | sql | "content": "\"finding\": \"sql_injection_payload\","
Line 5842 | MEDIUM | sql | "content": "\"finding\": \"sql_injection_payload\","
Line 5850 | MEDIUM | sql | "content": "\"finding\": \"sql_injection_payload\","
Line 5858 | MEDIUM | sql | "content": "\"finding\": \"sql_injection_payload\","
Line 5866 | MEDIUM | sql | "content": "\"finding\": \"sql_injection_payload\","
Line 5874 | MEDIUM | sql | "content": "\"finding\": \"sql_injection_payload\","
Line 5880 | MEDIUM | injection | "finding": "injection",
Line 5903 | MEDIUM | injection | "content": "\"owasp\": \"A03: Injection\","
Line 5911 | MEDIUM | injection | "content": "\"owasp\": \"A03: Injection\","
Line 5919 | MEDIUM | injection | "content": "\"owasp\": \"A03: Injection\","
Line 5927 | MEDIUM | injection | "content": "\"owasp\": \"A03: Injection\","
Line 5935 | MEDIUM | injection | "content": "\"owasp\": \"A03: Injection\","
Line 5943 | MEDIUM | injection | "content": "\"owasp\": \"A03: Injection\","
Line 5951 | MEDIUM | injection | "content": "\"owasp\": \"A03: Injection\","
Line 5959 | MEDIUM | injection | "content": "\"owasp\": \"A03: Injection\","
Line 5967 | MEDIUM | injection | "content": "\"owasp\": \"A03: Injection\","
Line 5975 | MEDIUM | injection | "content": "\"owasp\": \"A03: Injection\","
Line 5983 | MEDIUM | injection | "content": "\"owasp\": \"A03: Injection\","
Line 5991 | MEDIUM | injection | "content": "\"owasp\": \"A03: Injection\","
Line 5997 | MEDIUM | admin | "finding": "admin",
Line 6020 | MEDIUM | admin | "content": "\"finding\": \"admin\","
Line 6028 | MEDIUM | admin | "content": "\"finding\": \"admin\","
Line 6036 | MEDIUM | admin | "content": "\"finding\": \"admin\","
Line 6044 | MEDIUM | admin | "content": "\"finding\": \"admin\","
Line 6052 | MEDIUM | admin | "content": "\"finding\": \"admin\","
Line 6060 | MEDIUM | admin | "content": "\"finding\": \"admin\","
Line 6068 | MEDIUM | admin | "content": "\"finding\": \"admin\","
Line 6076 | MEDIUM | admin | "content": "\"finding\": \"admin\","
Line 6084 | MEDIUM | admin | "content": "\"finding\": \"admin\","
Line 6092 | MEDIUM | admin | "content": "\"finding\": \"admin\","
Line 6100 | MEDIUM | admin | "content": "\"finding\": \"admin\","
Line 6108 | MEDIUM | admin | "content": "\"finding\": \"admin\","
Line 6114 | MEDIUM | xss | "finding": "xss",
Line 6117 | MEDIUM | injection | "owasp": "A03: Injection",
Line 6137 | MEDIUM | xss | "content": "\"finding\": \"xss\","
Line 6145 | MEDIUM | xss | "content": "\"finding\": \"xss\","
Line 6153 | MEDIUM | xss | "content": "\"finding\": \"xss\","
Line 6161 | MEDIUM | xss | "content": "\"finding\": \"xss\","
Line 6169 | MEDIUM | xss | "content": "\"finding\": \"xss\","
Line 6177 | MEDIUM | xss | "content": "\"finding\": \"xss\","
Line 6185 | MEDIUM | xss | "content": "\"finding\": \"xss\","
Line 6193 | MEDIUM | xss | "content": "\"finding\": \"xss\","
Line 6201 | MEDIUM | xss | "content": "\"finding\": \"xss\","
Line 6209 | MEDIUM | xss | "content": "\"finding\": \"xss\","
Line 6217 | MEDIUM | xss | "content": "\"finding\": \"xss\","
Line 406 | UNKNOWN | weak_password | "content": "Password found: password123"
Line 414 | UNKNOWN | weak_password | "content": "Password found: password123"
Line 422 | UNKNOWN | weak_password | "content": "Password found: password123"
Line 430 | UNKNOWN | weak_password | "content": "Password found: password123"
Line 438 | UNKNOWN | weak_password | "content": "Password found: password123"
Line 446 | UNKNOWN | weak_password | "content": "Password found: password123"
Line 454 | UNKNOWN | weak_password | "content": "Password found: password123"
Line 462 | UNKNOWN | weak_password | "content": "Password found: password123"
Line 470 | UNKNOWN | weak_password | "content": "Password found: password123"
Line 478 | UNKNOWN | weak_password | "content": "Password found: password123"
Line 486 | UNKNOWN | weak_password | "content": "Password found: password123"
Line 494 | UNKNOWN | weak_password | "content": "Password found: password123"
Line 502 | UNKNOWN | weak_password | "content": "Password found: password123"
Line 531 | UNKNOWN | default_credentials | "content": "Default credentials detected: admin:admin"
Line 539 | UNKNOWN | default_credentials | "content": "Default credentials detected: admin:admin"
Line 547 | UNKNOWN | default_credentials | "content": "Default credentials detected: admin:admin"
Line 555 | UNKNOWN | default_credentials | "content": "Default credentials detected: admin:admin"
Line 563 | UNKNOWN | default_credentials | "content": "Default credentials detected: admin:admin"
Line 571 | UNKNOWN | default_credentials | "content": "Default credentials detected: admin:admin"
Line 579 | UNKNOWN | default_credentials | "content": "Default credentials detected: admin:admin"
Line 587 | UNKNOWN | default_credentials | "content": "Default credentials detected: admin:admin"
Line 595 | UNKNOWN | default_credentials | "content": "Default credentials detected: admin:admin"
Line 603 | UNKNOWN | default_credentials | "content": "Default credentials detected: admin:admin"
Line 611 | UNKNOWN | default_credentials | "content": "Default credentials detected: admin:admin"
Line 619 | UNKNOWN | default_credentials | "content": "Default credentials detected: admin:admin"
Line 627 | UNKNOWN | default_credentials | "content": "Default credentials detected: admin:admin"
Line 656 | UNKNOWN | sql_injection_payload | "content": "SQL injection attempt: ' OR '1'='1"
Line 664 | UNKNOWN | sql_injection_payload | "content": "SQL injection attempt: ' OR '1'='1"
Line 672 | UNKNOWN | sql_injection_payload | "content": "SQL injection attempt: ' OR '1'='1"
Line 680 | UNKNOWN | sql_injection_payload | "content": "SQL injection attempt: ' OR '1'='1"
Line 688 | UNKNOWN | sql_injection_payload | "content": "SQL injection attempt: ' OR '1'='1"
Line 696 | UNKNOWN | sql_injection_payload | "content": "SQL injection attempt: ' OR '1'='1"
Line 704 | UNKNOWN | sql_injection_payload | "content": "SQL injection attempt: ' OR '1'='1"
Line 712 | UNKNOWN | sql_injection_payload | "content": "SQL injection attempt: ' OR '1'='1"
Line 720 | UNKNOWN | sql_injection_payload | "content": "SQL injection attempt: ' OR '1'='1"
Line 728 | UNKNOWN | sql_injection_payload | "content": "SQL injection attempt: ' OR '1'='1"
Line 736 | UNKNOWN | sql_injection_payload | "content": "SQL injection attempt: ' OR '1'='1"
Line 744 | UNKNOWN | sql_injection_payload | "content": "SQL injection attempt: ' OR '1'='1"
Line 752 | UNKNOWN | sql_injection_payload | "content": "SQL injection attempt: ' OR '1'='1"
Line 781 | UNKNOWN | api_key_assignment | "content": "Sensitive data exposed: api_key=12345"
Line 789 | UNKNOWN | api_key_assignment | "content": "Sensitive data exposed: api_key=12345"
Line 797 | UNKNOWN | api_key_assignment | "content": "Sensitive data exposed: api_key=12345"
Line 805 | UNKNOWN | api_key_assignment | "content": "Sensitive data exposed: api_key=12345"
Line 813 | UNKNOWN | api_key_assignment | "content": "Sensitive data exposed: api_key=12345"
Line 821 | UNKNOWN | api_key_assignment | "content": "Sensitive data exposed: api_key=12345"
Line 829 | UNKNOWN | api_key_assignment | "content": "Sensitive data exposed: api_key=12345"
Line 837 | UNKNOWN | api_key_assignment | "content": "Sensitive data exposed: api_key=12345"
Line 845 | UNKNOWN | api_key_assignment | "content": "Sensitive data exposed: api_key=12345"
Line 853 | UNKNOWN | api_key_assignment | "content": "Sensitive data exposed: api_key=12345"
Line 861 | UNKNOWN | api_key_assignment | "content": "Sensitive data exposed: api_key=12345"
Line 869 | UNKNOWN | api_key_assignment | "content": "Sensitive data exposed: api_key=12345"
Line 877 | UNKNOWN | api_key_assignment | "content": "Sensitive data exposed: api_key=12345"
Line 1281 | UNKNOWN | ip_address | "content": "SSRF request to http://169.254.169.254/latest/meta-data"
Line 1289 | UNKNOWN | ip_address | "content": "SSRF request to http://169.254.169.254/latest/meta-data"
Line 1297 | UNKNOWN | ip_address | "content": "SSRF request to http://169.254.169.254/latest/meta-data"
Line 1305 | UNKNOWN | ip_address | "content": "SSRF request to http://169.254.169.254/latest/meta-data"
Line 1313 | UNKNOWN | ip_address | "content": "SSRF request to http://169.254.169.254/latest/meta-data"
Line 1321 | UNKNOWN | ip_address | "content": "SSRF request to http://169.254.169.254/latest/meta-data"
Line 1329 | UNKNOWN | ip_address | "content": "SSRF request to http://169.254.169.254/latest/meta-data"
Line 1337 | UNKNOWN | ip_address | "content": "SSRF request to http://169.254.169.254/latest/meta-data"
Line 1345 | UNKNOWN | ip_address | "content": "SSRF request to http://169.254.169.254/latest/meta-data"
Line 1353 | UNKNOWN | ip_address | "content": "SSRF request to http://169.254.169.254/latest/meta-data"
Line 1361 | UNKNOWN | ip_address | "content": "SSRF request to http://169.254.169.254/latest/meta-data"
Line 1369 | UNKNOWN | ip_address | "content": "SSRF request to http://169.254.169.254/latest/meta-data"
Line 1377 | UNKNOWN | ip_address | "content": "SSRF request to http://169.254.169.254/latest/meta-data"
Line 1406 | UNKNOWN | sql_injection_payload | "content": "ERROR SQL injection attempt detected: ' OR 1=1 --"
Line 1414 | UNKNOWN | sql_injection_payload | "content": "ERROR SQL injection attempt detected: ' OR 1=1 --"
Line 1422 | UNKNOWN | sql_injection_payload | "content": "ERROR SQL injection attempt detected: ' OR 1=1 --"
Line 1430 | UNKNOWN | sql_injection_payload | "content": "ERROR SQL injection attempt detected: ' OR 1=1 --"
Line 1438 | UNKNOWN | sql_injection_payload | "content": "ERROR SQL injection attempt detected: ' OR 1=1 --"
Line 1446 | UNKNOWN | sql_injection_payload | "content": "ERROR SQL injection attempt detected: ' OR 1=1 --"
Line 1454 | UNKNOWN | sql_injection_payload | "content": "ERROR SQL injection attempt detected: ' OR 1=1 --"
Line 1462 | UNKNOWN | sql_injection_payload | "content": "ERROR SQL injection attempt detected: ' OR 1=1 --"
Line 1470 | UNKNOWN | sql_injection_payload | "content": "ERROR SQL injection attempt detected: ' OR 1=1 --"
Line 1478 | UNKNOWN | sql_injection_payload | "content": "ERROR SQL injection attempt detected: ' OR 1=1 --"
Line 1486 | UNKNOWN | sql_injection_payload | "content": "ERROR SQL injection attempt detected: ' OR 1=1 --"
Line 1494 | UNKNOWN | sql_injection_payload | "content": "ERROR SQL injection attempt detected: ' OR 1=1 --"
Line 1502 | UNKNOWN | sql_injection_payload | "content": "ERROR SQL injection attempt detected: ' OR 1=1 --"
Line 1531 | UNKNOWN | github_token | "content": "WARN admin token exposed: ghp_exampletoken"
Line 1539 | UNKNOWN | github_token | "content": "WARN admin token exposed: ghp_exampletoken"
Line 1547 | UNKNOWN | github_token | "content": "WARN admin token exposed: ghp_exampletoken"
Line 1555 | UNKNOWN | github_token | "content": "WARN admin token exposed: ghp_exampletoken"
Line 1563 | UNKNOWN | github_token | "content": "WARN admin token exposed: ghp_exampletoken"
Line 1571 | UNKNOWN | github_token | "content": "WARN admin token exposed: ghp_exampletoken"
Line 1579 | UNKNOWN | github_token | "content": "WARN admin token exposed: ghp_exampletoken"
Line 1587 | UNKNOWN | github_token | "content": "WARN admin token exposed: ghp_exampletoken"
Line 1595 | UNKNOWN | github_token | "content": "WARN admin token exposed: ghp_exampletoken"
Line 1603 | UNKNOWN | github_token | "content": "WARN admin token exposed: ghp_exampletoken"
Line 1611 | UNKNOWN | github_token | "content": "WARN admin token exposed: ghp_exampletoken"
Line 1619 | UNKNOWN | github_token | "content": "WARN admin token exposed: ghp_exampletoken"
Line 1627 | UNKNOWN | github_token | "content": "WARN admin token exposed: ghp_exampletoken"
Line 1781 | UNKNOWN | password_assignment | "content": "password=12345"
Line 1789 | UNKNOWN | password_assignment | "content": "password=12345"
Line 1797 | UNKNOWN | password_assignment | "content": "password=12345"
Line 1805 | UNKNOWN | password_assignment | "content": "password=12345"
Line 1813 | UNKNOWN | password_assignment | "content": "password=12345"
Line 1821 | UNKNOWN | password_assignment | "content": "password=12345"
Line 1829 | UNKNOWN | password_assignment | "content": "password=12345"
Line 1837 | UNKNOWN | password_assignment | "content": "password=12345"
Line 1845 | UNKNOWN | password_assignment | "content": "password=12345"
Line 1853 | UNKNOWN | password_assignment | "content": "password=12345"
Line 1861 | UNKNOWN | password_assignment | "content": "password=12345"
Line 1869 | UNKNOWN | password_assignment | "content": "password=12345"
Line 1877 | UNKNOWN | password_assignment | "content": "password=12345"
Line 1906 | UNKNOWN | weak_password | "content": "INFO AWS key found: AKIA1234567890ABCDE"
Line 1914 | UNKNOWN | weak_password | "content": "INFO AWS key found: AKIA1234567890ABCDE"
Line 1922 | UNKNOWN | weak_password | "content": "INFO AWS key found: AKIA1234567890ABCDE"
Line 1930 | UNKNOWN | weak_password | "content": "INFO AWS key found: AKIA1234567890ABCDE"
Line 1938 | UNKNOWN | weak_password | "content": "INFO AWS key found: AKIA1234567890ABCDE"
Line 1946 | UNKNOWN | weak_password | "content": "INFO AWS key found: AKIA1234567890ABCDE"
Line 1954 | UNKNOWN | weak_password | "content": "INFO AWS key found: AKIA1234567890ABCDE"
Line 1962 | UNKNOWN | weak_password | "content": "INFO AWS key found: AKIA1234567890ABCDE"
Line 1970 | UNKNOWN | weak_password | "content": "INFO AWS key found: AKIA1234567890ABCDE"
Line 1978 | UNKNOWN | weak_password | "content": "INFO AWS key found: AKIA1234567890ABCDE"
Line 1986 | UNKNOWN | weak_password | "content": "INFO AWS key found: AKIA1234567890ABCDE"
Line 1994 | UNKNOWN | weak_password | "content": "INFO AWS key found: AKIA1234567890ABCDE"
Line 2002 | UNKNOWN | weak_password | "content": "INFO AWS key found: AKIA1234567890ABCDE"
Line 2031 | UNKNOWN | admin_endpoint | "content": "WARN Admin endpoint accessed: /admin/dashboard"
Line 2039 | UNKNOWN | admin_endpoint | "content": "WARN Admin endpoint accessed: /admin/dashboard"
Line 2047 | UNKNOWN | admin_endpoint | "content": "WARN Admin endpoint accessed: /admin/dashboard"
Line 2055 | UNKNOWN | admin_endpoint | "content": "WARN Admin endpoint accessed: /admin/dashboard"
Line 2063 | UNKNOWN | admin_endpoint | "content": "WARN Admin endpoint accessed: /admin/dashboard"
Line 2071 | UNKNOWN | admin_endpoint | "content": "WARN Admin endpoint accessed: /admin/dashboard"
Line 2079 | UNKNOWN | admin_endpoint | "content": "WARN Admin endpoint accessed: /admin/dashboard"
Line 2087 | UNKNOWN | admin_endpoint | "content": "WARN Admin endpoint accessed: /admin/dashboard"
Line 2095 | UNKNOWN | admin_endpoint | "content": "WARN Admin endpoint accessed: /admin/dashboard"
Line 2103 | UNKNOWN | admin_endpoint | "content": "WARN Admin endpoint accessed: /admin/dashboard"
Line 2111 | UNKNOWN | admin_endpoint | "content": "WARN Admin endpoint accessed: /admin/dashboard"
Line 2119 | UNKNOWN | admin_endpoint | "content": "WARN Admin endpoint accessed: /admin/dashboard"
